City/Town,Leading Candidate,Roger M. Marcoux Jr (R),Write-Ins,Blanks,Overvotes,Total Votes Cast,Roger M. Marcoux Jr (R) Percent Votes Cast,Overvotes Percent
Belvidere,Roger M. Marcoux Jr (R),102,8,6,1,117,87.18%,0.85%
Cambridge,Roger M. Marcoux Jr (R),22,7,6,7,42,52.38%,16.67%
Eden,Roger M. Marcoux Jr (R),61,3,2,9,75,81.33%,12.00%
Elmore,Roger M. Marcoux Jr (R),42,10,2,5,59,71.19%,8.47%
Hyde Park,Roger M. Marcoux Jr (R),12,4,1,9,26,46.15%,34.62%
Johnson,Roger M. Marcoux Jr (R),2,2,5,8,17,11.76%,47.06%
Morristown,Roger M. Marcoux Jr (R),53,7,1,5,66,80.30%,7.58%
Stowe,Roger M. Marcoux Jr (R),155,7,7,9,178,87.08%,5.06%
Waterville,Roger M. Marcoux Jr (R),38,5,3,8,54,70.37%,14.81%
Wolcott,Roger M. Marcoux Jr (R),51,6,7,3,67,76.12%,4.48%
