City/Town,Leading Candidate,Michael A. Tkac (D),Sean McRae (D),Write-Ins,Blanks,Overvotes,Total Votes Cast,Michael A. Tkac (D) Percent Votes Cast,Sean McRae (D) Percent Votes Cast,Overvotes Percent
Bradford,Michael A. Tkac (D),192,75,4,56,0,327,58.72%,22.94%,0.00%
Braintree,Sean McRae (D),24,50,1,81,1,157,15.29%,31.85%,0.64%
Brookfield,Sean McRae (D),33,131,0,45,0,209,15.79%,62.68%,0.00%
Chelsea,Sean McRae (D),29,73,2,24,0,128,22.66%,57.03%,0.00%
Corinth,Michael A. Tkac (D),107,58,0,29,0,194,55.15%,29.90%,0.00%
Fairlee,Sean McRae (D),53,68,0,32,0,153,34.64%,44.44%,0.00%
Newbury,Michael A. Tkac (D),141,97,0,85,0,323,43.65%,30.03%,0.00%
Orange,Sean McRae (D),16,26,0,15,1,58,27.59%,44.83%,1.72%
Strafford,Sean McRae (D),54,166,0,133,1,354,15.25%,46.89%,0.28%
Thetford,Sean McRae (D),181,193,5,249,0,628,28.82%,30.73%,0.00%
Washington,Sean McRae (D),38,49,0,35,0,122,31.15%,40.16%,0.00%
West Fairlee,Michael A. Tkac (D),25,24,1,11,1,62,40.32%,38.71%,1.61%
Williamstown,Sean McRae (D),47,124,0,30,0,201,23.38%,61.69%,0.00%
