City/Town,Leading Candidate,Jacob Held (R),Write-Ins,Blanks,Overvotes,Total Votes Cast,Jacob Held (R) Percent Votes Cast,Overvotes Percent
Bradford,Jacob Held (R),96,5,2,10,113,84.96%,8.85%
Braintree,Jacob Held (R),54,3,4,3,64,84.38%,4.69%
Brookfield,Jacob Held (R),69,4,2,8,83,83.13%,9.64%
Chelsea,Jacob Held (R),80,7,9,4,100,80.00%,4.00%
Corinth,Jacob Held (R),63,1,7,9,80,78.75%,11.25%
Fairlee,Jacob Held (R),48,4,1,9,62,77.42%,14.52%
Newbury,Jacob Held (R),104,3,8,2,117,88.89%,1.71%
Orange,Jacob Held (R),77,6,5,3,91,84.62%,3.30%
Randolph,Jacob Held (R),69,4,4,6,83,83.13%,7.23%
Strafford,Jacob Held (R),82,2,2,1,87,94.25%,1.15%
Thetford,Jacob Held (R),104,2,4,6,116,89.66%,5.17%
Topsham,Jacob Held (R),103,2,8,2,115,89.57%,1.74%
Tunbridge,Jacob Held (R),78,5,2,0,85,91.76%,0.00%
Vershire,Jacob Held (R),39,1,7,8,55,70.91%,14.55%
Washington,Jacob Held (R),36,5,8,3,52,69.23%,5.77%
West Fairlee,Jacob Held (R),59,4,1,7,71,83.10%,9.86%
Williamstown,Jacob Held (R),89,8,7,4,108,82.41%,3.70%
