City/Town,Leading Candidate,David J. Fox (R),Write-Ins,Blanks,Overvotes,Total Votes Cast,David J. Fox (R) Percent Votes Cast,Overvotes Percent
Benson,David J. Fox (R),25,8,3,2,38,65.79%,5.26%
Brandon,David J. Fox (R),83,3,8,2,96,86.46%,2.08%
Castleton,David J. Fox (R),13,9,2,1,25,52.00%,4.00%
Chittenden,David J. Fox (R),89,8,2,1,100,89.00%,1.00%
Clarendon,David J. Fox (R),43,7,3,7,60,71.67%,11.67%
Danby,David J. Fox (R),17,6,3,5,31,54.84%,16.13%
Fair Haven,David J. Fox (R),100,8,2,6,116,86.21%,5.17%
Hubbardton,David J. Fox (R),2,3,7,1,13,15.38%,7.69%
Ira,David J. Fox (R),100,5,5,8,118,84.75%,6.78%
Killington,David J. Fox (R),61,3,7,6,77,79.22%,7.79%
Mendon,David J. Fox (R),92,1,7,8,108,85.19%,7.41%
Middletown Springs,David J. Fox (R),2,6,6,4,18,11.11%,22.22%
Mount Holly,David J. Fox (R),22,7,10,3,42,52.38%,7.14%
Mount Tabor,David J. Fox (R),38,1,0,9,48,79.17%,18.75%
Pawlet,David J. Fox (R),61,8,4,0,73,83.56%,0.00%
Pittsfield,David J. Fox (R),78,3,7,2,90,86.67%,2.22%
Pittsford,David J. Fox (R),80,6,5,5,96,83.33%,5.21%
Poultney,David J. Fox (R),76,1,9,4,90,84.44%,4.44%
Proctor,David J. Fox (R),70,6,5,3,84,83.33%,3.57%
Rutland City,David J. Fox (R),226,8,8,9,251,90.04%,3.59%
Rutland Town,David J. Fox (R),47,4,5,8,64,73.44%,12.50%
Shrewsbury,David J. Fox (R),18,7,3,5,33,54.55%,15.15%
Sudbury,David J. Fox (R),76,2,5,6,89,85.39%,6.74%
Tinmouth,David J. Fox (R),47,10,1,6,64,73.44%,9.38%
Wallingford,David J. Fox (R),86,8,6,1,101,85.15%,0.99%
Wells,David J. Fox (R),144,8,6,10,168,85.71%,5.95%
West Haven,David J. Fox (R),80,3,1,5,89,89.89%,5.62%
West Rutland,David J. Fox (R),76,5,10,6,97,78.35%,6.19%
