City/Town,Leading Candidate,Marc Poulin (D),Write-Ins,Blanks,Overvotes,Total Votes Cast,Marc Poulin (D) Percent Votes Cast,Overvotes Percent
Barre City,Marc Poulin (D),14,7,1,5,27,51.85%,18.52%
Barre Town,Marc Poulin (D),56,0,6,8,70,80.00%,11.43%
Berlin,Marc Poulin (D),29,3,4,5,41,70.73%,12.20%
Cabot,Marc Poulin (D),17,9,5,1,32,53.12%,3.12%
Calais,Marc Poulin (D),60,2,3,1,66,90.91%,1.52%
Duxbury,Marc Poulin (D),20,7,4,5,36,55.56%,13.89%
East Montpelier,Marc Poulin (D),61,1,8,0,70,87.14%,0.00%
Fayston,Marc Poulin (D),109,5,3,10,127,85.83%,7.87%
Marshfield,Marc Poulin (D),79,5,1,0,85,92.94%,0.00%
Middlesex,Marc Poulin (D),8,1,0,5,14,57.14%,35.71%
Montpelier,Marc Poulin (D),108,7,1,2,118,91.53%,1.69%
Moretown,Marc Poulin (D),42,4,6,0,52,80.77%,0.00%
Northfield,Marc Poulin (D),45,5,1,6,57,78.95%,10.53%
Plainfield,Marc Poulin (D),70,2,4,7,83,84.34%,8.43%
Roxbury,Marc Poulin (D),105,2,9,3,119,88.24%,2.52%
Waitsfield,Marc Poulin (D),103,3,2,1,109,94.50%,0.92%
Warren,Marc Poulin (D),95,5,4,3,107,88.79%,2.80%
Waterbury,Marc Poulin (D),61,1,5,4,71,85.92%,5.63%
Woodbury,Marc Poulin (D),103,2,5,3,113,91.15%,2.65%
Worcester,Marc Poulin (D),36,6,9,6,57,63.16%,10.53%
