City/Town,Leading Candidate,Mark R. Anderson (D),Write-Ins,Blanks,Overvotes,Total Votes Cast,Mark R. Anderson (D) Percent Votes Cast,Overvotes Percent
Athens,Mark R. Anderson (D),49,4,1,6,60,81.67%,10.00%
Brattleboro,Mark R. Anderson (D),167,8,10,7,192,86.98%,3.65%
Brookline,Mark R. Anderson (D),86,1,4,5,96,89.58%,5.21%
Dover,Mark R. Anderson (D),99,7,0,8,114,86.84%,7.02%
Dummerston,Mark R. Anderson (D),12,9,6,8,35,34.29%,22.86%
Grafton,Mark R. Anderson (D),30,1,1,7,39,76.92%,17.95%
Guilford,Mark R. Anderson (D),20,6,3,7,36,55.56%,19.44%
Halifax,Mark R. Anderson (D),43,3,1,3,50,86.00%,6.00%
Jamaica,Mark R. Anderson (D),74,6,5,1,86,86.05%,1.16%
Londonderry,Mark R. Anderson (D),101,0,2,3,106,95.28%,2.83%
Marlboro,Mark R. Anderson (D),18,2,3,6,29,62.07%,20.69%
Newfane,Mark R. Anderson (D),15,1,4,6,26,57.69%,23.08%
Putney,Mark R. Anderson (D),80,8,10,8,106,75.47%,7.55%
Rockingham,Mark R. Anderson (D),19,9,2,6,36,52.78%,16.67%
Stratton,Mark R. Anderson (D),6,1,4,8,19,31.58%,42.11%
Townshend,Mark R. Anderson (D),30,2,0,4,36,83.33%,11.11%
Vernon,Mark R. Anderson (D),60,6,3,10,79,75.95%,12.66%
Wardsboro,Mark R. Anderson (D),106,8,0,8,122,86.89%,6.56%
Westminster,Mark R. Anderson (D),4,8,8,0,20,20.00%,0.00%
Whitingham,Mark R. Anderson (D),108,5,1,4,118,91.53%,3.39%
Wilmington,Mark R. Anderson (D),64,5,1,8,78,82.05%,10.26%
Windham,Mark R. Anderson (D),32,4,4,1,41,78.05%,2.44%
