City/Town,Leading Candidate,Christopher A. Norton (D),Claude E. Weyant (D),Joshua Lake (D),Write-Ins,Blanks,Overvotes,Total Votes Cast,Christopher A. Norton (D) Percent Votes Cast,Claude E. Weyant (D) Percent Votes Cast,Joshua Lake (D) Percent Votes Cast,Overvotes Percent
Andover,Christopher A. Norton (D),72,40,53,9,10,7,191,37.70%,20.94%,27.75%,3.66%
Baltimore,Claude E. Weyant (D),41,102,101,9,6,10,269,15.24%,37.92%,37.55%,3.72%
Barnard,Christopher A. Norton (D),58,3,42,7,5,7,122,47.54%,2.46%,34.43%,5.74%
Bethel,Claude E. Weyant (D),75,81,80,6,9,6,257,29.18%,31.52%,31.13%,2.33%
Bridgewater,Claude E. Weyant (D),29,76,60,7,8,10,190,15.26%,40.00%,31.58%,5.26%
Cavendish,Claude E. Weyant (D),48,91,48,9,7,7,210,22.86%,43.33%,22.86%,3.33%
Chester,Claude E. Weyant (D),4,46,24,10,4,9,97,4.12%,47.42%,24.74%,9.28%
Hartford,Christopher A. Norton (D),100,89,96,5,9,8,307,32.57%,28.99%,31.27%,2.61%
Hartland,Claude E. Weyant (D),67,78,11,9,4,2,171,39.18%,45.61%,6.43%,1.17%
Ludlow,Claude E. Weyant (D),45,109,68,8,5,5,240,18.75%,45.42%,28.33%,2.08%
Norwich,Claude E. Weyant (D),26,45,13,10,10,8,112,23.21%,40.18%,11.61%,7.14%
Plymouth,Claude E. Weyant (D),12,34,21,8,5,9,89,13.48%,38.20%,23.60%,10.11%
Pomfret,Joshua Lake (D),9,23,65,10,8,8,123,7.32%,18.70%,52.85%,6.50%
Reading,Claude E. Weyant (D),27,33,1,4,5,3,73,36.99%,45.21%,1.37%,4.11%
Rochester,Claude E. Weyant (D),23,67,2,6,6,5,109,21.10%,61.47%,1.83%,4.59%
Royalton,Christopher A. Norton (D),85,72,67,8,10,10,252,33.73%,28.57%,26.59%,3.97%
Sharon,Joshua Lake (D),4,19,51,8,5,8,95,4.21%,20.00%,53.68%,8.42%
Springfield,Joshua Lake (D),51,35,76,10,2,8,182,28.02%,19.23%,41.76%,4.40%
Stockbridge,Joshua Lake (D),42,14,44,10,10,7,127,33.07%,11.02%,34.65%,5.51%
Weathersfield,Claude E. Weyant (D),9,43,34,6,5,7,104,8.65%,41.35%,32.69%,6.73%
West Windsor,Joshua Lake (D),31,86,106,4,8,8,243,12.76%,35.39%,43.62%,3.29%
Weston,Christopher A. Norton (D),41,10,31,7,3,10,102,40.20%,9.80%,30.39%,9.80%
Windsor,Christopher A. Norton (D),56,21,49,5,7,2,140,40.00%,15.00%,35.00%,1.43%
Woodstock,Christopher A. Norton (D),81,34,1,5,8,7,136,59.56%,25.00%,0.74%,5.15%
