City/Town,Leading Candidate,Richard King (R),Write-Ins,Blanks,Overvotes,Total Votes Cast,Richard King (R) Percent Votes Cast,Overvotes Percent
Andover,Richard King (R),59,5,6,5,75,78.67%,6.67%
Baltimore,Richard King (R),65,5,4,6,80,81.25%,7.50%
Barnard,Richard King (R),77,9,1,6,93,82.80%,6.45%
Bethel,Richard King (R),12,6,3,4,25,48.00%,16.00%
Bridgewater,Richard King (R),19,7,7,8,41,46.34%,19.51%
Cavendish,Richard King (R),0,5,5,8,18,0.00%,44.44%
Chester,Richard King (R),74,1,1,8,84,88.10%,9.52%
Hartford,Richard King (R),130,3,8,1,142,91.55%,0.70%
Hartland,Richard King (R),63,6,10,1,80,78.75%,1.25%
Ludlow,Richard King (R),58,6,1,1,66,87.88%,1.52%
Norwich,Richard King (R),77,8,8,2,95,81.05%,2.11%
Plymouth,Richard King (R),34,6,1,0,41,82.93%,0.00%
Pomfret,Richard King (R),73,3,8,2,86,84.88%,2.33%
Reading,Richard King (R),66,2,1,4,73,90.41%,5.48%
Rochester,Richard King (R),78,4,2,5,89,87.64%,5.62%
Royalton,Richard King (R),34,5,5,2,46,73.91%,4.35%
Sharon,Richard King (R),89,4,3,5,101,88.12%,4.95%
Springfield,Richard King (R),73,2,9,8,92,79.35%,8.70%
Stockbridge,Richard King (R),73,6,7,6,92,79.35%,6.52%
Weathersfield,Richard King (R),12,8,1,3,24,50.00%,12.50%
West Windsor,Richard King (R),27,5,2,3,37,72.97%,8.11%
Weston,Richard King (R),13,9,6,5,33,39.39%,15.15%
Windsor,Richard King (R),49,9,6,4,68,72.06%,5.88%
Woodstock,Richard King (R),87,6,3,7,103,84.47%,6.80%
