City/Town,Leading Candidate,Mike Pieciak (D),Write-Ins,Blanks,Overvotes,Total Votes Cast,Mike Pieciak (D) Percent Votes Cast,Overvotes Percent
Addison,Mike Pieciak (D),157,1,9,0,167,94.01%,0.00%
Albany,Mike Pieciak (D),85,0,11,0,96,88.54%,0.00%
Andover,Mike Pieciak (D),75,1,8,0,84,89.29%,0.00%
Arlington,Mike Pieciak (D),248,0,27,0,275,90.18%,0.00%
Athens,Mike Pieciak (D),37,0,9,0,46,80.43%,0.00%
Bakersfield,Mike Pieciak (D),97,3,8,0,108,89.81%,0.00%
Baltimore,Mike Pieciak (D),20,0,5,0,25,80.00%,0.00%
Barnard,Mike Pieciak (D),158,0,0,30,188,84.04%,15.96%
Barre City,Mike Pieciak (D),654,4,69,0,727,89.96%,0.00%
Barre Town,Mike Pieciak (D),746,13,86,0,845,88.28%,0.00%
Barton,Mike Pieciak (D),119,0,13,0,132,90.15%,0.00%
Belvidere,Mike Pieciak (D),22,0,2,0,24,91.67%,0.00%
Bennington,Mike Pieciak (D),1314,0,0,0,1314,100.00%,0.00%
Berkshire,Mike Pieciak (D),49,0,10,0,59,83.05%,0.00%
Berlin,Mike Pieciak (D),345,7,59,0,411,83.94%,0.00%
Bethel,Mike Pieciak (D),196,4,24,0,224,87.50%,0.00%
Bloomfield,Mike Pieciak (D),9,0,2,0,11,81.82%,0.00%
Bolton,Mike Pieciak (D),160,4,30,0,194,82.47%,0.00%
Bradford,Mike Pieciak (D),258,0,69,0,327,78.90%,0.00%
Braintree,Mike Pieciak (D),134,1,22,0,157,85.35%,0.00%
Brandon,Mike Pieciak (D),352,1,44,0,397,88.66%,0.00%
Brattleboro,Mike Pieciak (D),1911,0,58,0,1969,97.05%,0.00%
Bridgewater,Mike Pieciak (D),112,3,18,0,133,84.21%,0.00%
Bridport,Mike Pieciak (D),134,0,8,0,142,94.37%,0.00%
Brighton,Mike Pieciak (D),50,0,6,0,56,89.29%,0.00%
Bristol,Mike Pieciak (D),556,4,48,0,608,91.45%,0.00%
Brookline,Mike Pieciak (D),75,0,4,0,79,94.94%,0.00%
Brownington,Mike Pieciak (D),46,0,4,0,50,92.00%,0.00%
Brunswick,Mike Pieciak (D),7,0,0,0,7,100.00%,0.00%
Burke,Mike Pieciak (D),131,1,13,0,145,90.34%,0.00%
Cabot,Mike Pieciak (D),162,7,26,0,195,83.08%,0.00%
Calais,Mike Pieciak (D),460,9,79,0,548,83.94%,0.00%
Canaan,Mike Pieciak (D),33,0,4,0,37,89.19%,0.00%
Cavendish,Mike Pieciak (D),125,2,19,0,146,85.62%,0.00%
Charleston,Mike Pieciak (D),56,0,7,0,63,88.89%,0.00%
Charlotte,Mike Pieciak (D),860,2,228,0,1090,78.90%,0.00%
Chelsea,Mike Pieciak (D),105,0,23,0,128,82.03%,0.00%
Chester,Mike Pieciak (D),367,1,59,0,427,85.95%,0.00%
Chittenden,Mike Pieciak (D),109,0,6,0,115,94.78%,0.00%
Clarendon,Mike Pieciak (D),102,0,13,0,115,88.70%,0.00%
Colchester,Mike Pieciak (D),1201,21,333,0,1555,77.23%,0.00%
Concord,Mike Pieciak (D),55,1,9,0,65,84.62%,0.00%
Corinth,Mike Pieciak (D),160,7,27,0,194,82.47%,0.00%
Cornwall,Mike Pieciak (D),281,0,33,0,314,89.49%,0.00%
Coventry,Mike Pieciak (D),49,0,7,0,56,87.50%,0.00%
Craftsbury,Mike Pieciak (D),170,1,25,0,196,86.73%,0.00%
Danby,Mike Pieciak (D),99,1,10,0,110,90.00%,0.00%
Danville,Mike Pieciak (D),261,2,29,0,292,89.38%,0.00%
Derby,Mike Pieciak (D),226,2,21,0,249,90.76%,0.00%
Dover,Mike Pieciak (D),92,0,7,0,99,92.93%,0.00%
Dummerston,Mike Pieciak (D),375,1,46,0,422,88.86%,0.00%
Duxbury,Mike Pieciak (D),187,1,22,0,210,89.05%,0.00%
East Haven,Mike Pieciak (D),22,0,5,0,27,81.48%,0.00%
East Montpelier,Mike Pieciak (D),652,2,102,0,756,86.24%,0.00%
Eden,Mike Pieciak (D),50,0,4,0,54,92.59%,0.00%
Elmore,Mike Pieciak (D),130,2,21,0,153,84.97%,0.00%
Essex Junction,Mike Pieciak (D),1624,13,253,1,1891,85.88%,0.05%
Essex,Mike Pieciak (D),1683,15,219,1,1918,87.75%,0.05%
Fair Haven,Mike Pieciak (D),119,0,18,0,137,86.86%,0.00%
Fairfax,Mike Pieciak (D),386,3,58,0,447,86.35%,0.00%
Fairlee,Mike Pieciak (D),128,0,25,0,153,83.66%,0.00%
Fayston,Mike Pieciak (D),216,2,24,0,242,89.26%,0.00%
Ferrisburgh,Mike Pieciak (D),443,1,58,0,502,88.25%,0.00%
Fletcher,Mike Pieciak (D),150,1,15,0,166,90.36%,0.00%
Georgia,Mike Pieciak (D),246,4,22,0,272,90.44%,0.00%
Goshen,Mike Pieciak (D),30,2,5,0,37,81.08%,0.00%
Grafton,Mike Pieciak (D),80,0,7,0,87,91.95%,0.00%
Granby,Mike Pieciak (D),6,0,0,0,6,100.00%,0.00%
Grand Isle,Mike Pieciak (D),286,7,41,1,335,85.37%,0.30%
Granville,Mike Pieciak (D),28,0,2,0,30,93.33%,0.00%
Greensboro,Mike Pieciak (D),160,1,9,0,170,94.12%,0.00%
Groton,Mike Pieciak (D),59,0,12,0,71,83.10%,0.00%
Guildhall,Mike Pieciak (D),14,0,5,0,19,73.68%,0.00%
Guilford,Mike Pieciak (D),378,1,21,0,400,94.50%,0.00%
Hancock,Mike Pieciak (D),43,1,3,0,47,91.49%,0.00%
Hardwick,Mike Pieciak (D),274,6,40,0,320,85.62%,0.00%
Hartford,Mike Pieciak (D),1220,13,136,0,1369,89.12%,0.00%
Hartland,Mike Pieciak (D),540,3,84,0,627,86.12%,0.00%
Highgate,Mike Pieciak (D),121,5,9,0,135,89.63%,0.00%
Hinesburg,Mike Pieciak (D),13,0,3,0,16,81.25%,0.00%
Holland,Mike Pieciak (D),34,1,4,0,39,87.18%,0.00%
Hubbardton,Mike Pieciak (D),52,0,7,0,59,88.14%,0.00%
Huntington,Mike Pieciak (D),409,2,71,0,482,84.85%,0.00%
Hyde Park,Mike Pieciak (D),280,2,33,0,315,88.89%,0.00%
Ira,Mike Pieciak (D),27,0,2,0,29,93.10%,0.00%
Isle La Motte,Mike Pieciak (D),71,3,7,0,81,87.65%,0.00%
Jamaica,Mike Pieciak (D),117,1,23,0,141,82.98%,0.00%
Jay,Mike Pieciak (D),27,0,2,0,29,93.10%,0.00%
Johnson,Mike Pieciak (D),228,0,26,0,254,89.76%,0.00%
Kirby,Mike Pieciak (D),59,1,6,0,66,89.39%,0.00%
Landgrove,Mike Pieciak (D),33,0,11,0,44,75.00%,0.00%
Leicester,Mike Pieciak (D),96,1,10,0,107,89.72%,0.00%
Lemington,Mike Pieciak (D),6,0,0,0,6,100.00%,0.00%
Lincoln,Mike Pieciak (D),299,0,40,0,339,88.20%,0.00%
Londonderry,Mike Pieciak (D),200,1,19,0,220,90.91%,0.00%
Ludlow,Mike Pieciak (D),192,0,33,0,225,85.33%,0.00%
Lunenburg,Mike Pieciak (D),53,2,8,0,63,84.13%,0.00%
Lyndon,Mike Pieciak (D),286,17,23,0,326,87.73%,0.00%
Maidstone,Mike Pieciak (D),22,0,0,0,22,100.00%,0.00%
Marlboro,Mike Pieciak (D),209,0,28,0,237,88.19%,0.00%
Marshfield,Mike Pieciak (D),177,1,24,0,202,87.62%,0.00%
Mendon,Mike Pieciak (D),82,0,9,0,91,90.11%,0.00%
Middletown Springs,Mike Pieciak (D),102,0,10,0,112,91.07%,0.00%
Monkton,Mike Pieciak (D),290,1,29,0,320,90.62%,0.00%
Montpelier,Mike Pieciak (D),2107,13,305,1,2426,86.85%,0.04%
Moretown,Mike Pieciak (D),232,1,33,0,266,87.22%,0.00%
Morgan,Mike Pieciak (D),20,0,5,0,25,80.00%,0.00%
Morristown,Mike Pieciak (D),553,8,69,0,630,87.78%,0.00%
Mount Holly,Mike Pieciak (D),133,0,22,0,155,85.81%,0.00%
Mount Tabor,Mike Pieciak (D),10,0,4,0,14,71.43%,0.00%
New Haven,Mike Pieciak (D),252,1,12,0,265,95.09%,0.00%
Newport City,Mike Pieciak (D),203,3,35,0,241,84.23%,0.00%
Newport Town,Mike Pieciak (D),66,2,8,0,76,86.84%,0.00%
North Hero,Mike Pieciak (D),188,1,25,0,214,87.85%,0.00%
Northfield,Mike Pieciak (D),397,3,52,0,452,87.83%,0.00%
Norton,Mike Pieciak (D),9,0,2,0,11,81.82%,0.00%
