City/Town,Leading Candidate,Zachary Hampl (P),Write-Ins,Blanks,Overvotes,Total Votes Cast,Zachary Hampl (P) Percent Votes Cast,Overvotes Percent
Addison,Zachary Hampl (P),91,7,1,2,101,90.10%,1.98%
Albany,Zachary Hampl (P),34,1,8,1,44,77.27%,2.27%
Alburgh,Zachary Hampl (P),86,3,7,5,101,85.15%,4.95%
Andover,Zachary Hampl (P),49,7,4,8,68,72.06%,11.76%
Arlington,Zachary Hampl (P),18,5,3,5,31,58.06%,16.13%
Athens,Zachary Hampl (P),94,6,2,1,103,91.26%,0.97%
Bakersfield,Zachary Hampl (P),32,8,6,4,50,64.00%,8.00%
Baltimore,Zachary Hampl (P),82,4,1,1,88,93.18%,1.14%
Barnard,Zachary Hampl (P),3,5,5,1,14,21.43%,7.14%
Barnet,Zachary Hampl (P),12,6,9,4,31,38.71%,12.90%
Barre City,Zachary Hampl (P),35,2,0,7,44,79.55%,15.91%
Barre Town,Zachary Hampl (P),99,1,7,1,108,91.67%,0.93%
Barton,Zachary Hampl (P),35,10,5,7,57,61.40%,12.28%
Belvidere,Zachary Hampl (P),24,1,3,4,32,75.00%,12.50%
Bennington,Zachary Hampl (P),61,8,6,7,82,74.39%,8.54%
Benson,Zachary Hampl (P),1,1,8,1,11,9.09%,9.09%
Berkshire,Zachary Hampl (P),36,6,4,3,49,73.47%,6.12%
Berlin,Zachary Hampl (P),42,7,3,5,57,73.68%,8.77%
Bethel,Zachary Hampl (P),54,3,1,10,68,79.41%,14.71%
Bloomfield,Zachary Hampl (P),84,3,8,2,97,86.60%,2.06%
Bolton,Zachary Hampl (P),12,1,6,8,27,44.44%,29.63%
Bradford,Zachary Hampl (P),39,8,4,2,53,73.58%,3.77%
Braintree,Zachary Hampl (P),81,5,1,7,94,86.17%,7.45%
Brandon,Zachary Hampl (P),36,1,2,4,43,83.72%,9.30%
Brattleboro,Zachary Hampl (P),179,10,4,9,202,88.61%,4.46%
Bridgewater,Zachary Hampl (P),41,4,6,7,58,70.69%,12.07%
Bridport,Zachary Hampl (P),40,1,4,3,48,83.33%,6.25%
Brighton,Zachary Hampl (P),56,4,1,9,70,80.00%,12.86%
Bristol,Zachary Hampl (P),75,5,2,5,87,86.21%,5.75%
Brookfield,Zachary Hampl (P),7,6,1,8,22,31.82%,36.36%
Brookline,Zachary Hampl (P),49,3,5,8,65,75.38%,12.31%
Brownington,Zachary Hampl (P),54,10,7,7,78,69.23%,8.97%
Brunswick,Zachary Hampl (P),13,2,4,5,24,54.17%,20.83%
Burke,Zachary Hampl (P),36,10,1,4,51,70.59%,7.84%
Burlington,Zachary Hampl (P),369,5,3,9,386,95.60%,2.33%
Cabot,Zachary Hampl (P),31,3,6,3,43,72.09%,6.98%
Calais,Zachary Hampl (P),1,8,3,8,20,5.00%,40.00%
Cambridge,Zachary Hampl (P),80,2,1,10,93,86.02%,10.75%
Canaan,Zachary Hampl (P),23,6,8,4,41,56.10%,9.76%
Castleton,Zachary Hampl (P),79,5,8,5,97,81.44%,5.15%
Cavendish,Zachary Hampl (P),79,8,1,6,94,84.04%,6.38%
Charleston,Zachary Hampl (P),47,5,1,5,58,81.03%,8.62%
Charlotte,Zachary Hampl (P),103,4,0,7,114,90.35%,6.14%
Chelsea,Zachary Hampl (P),70,4,1,10,85,82.35%,11.76%
Chester,Zachary Hampl (P),18,5,8,1,32,56.25%,3.12%
Chittenden,Zachary Hampl (P),73,9,7,1,90,81.11%,1.11%
Clarendon,Zachary Hampl (P),10,10,0,0,20,50.00%,0.00%
Colchester,Zachary Hampl (P),185,10,7,10,212,87.26%,4.72%
Concord,Zachary Hampl (P),85,1,4,0,90,94.44%,0.00%
Corinth,Zachary Hampl (P),16,7,5,6,34,47.06%,17.65%
Cornwall,Zachary Hampl (P),42,3,2,7,54,77.78%,12.96%
Coventry,Zachary Hampl (P),75,1,6,3,85,88.24%,3.53%
Craftsbury,Zachary Hampl (P),0,1,8,1,10,0.00%,10.00%
Danby,Zachary Hampl (P),105,9,3,1,118,88.98%,0.85%
Danville,Zachary Hampl (P),34,6,1,8,49,69.39%,16.33%
Derby,Zachary Hampl (P),62,2,0,4,68,91.18%,5.88%
Dorset,Zachary Hampl (P),36,3,6,8,53,67.92%,15.09%
Dover,Zachary Hampl (P),81,6,6,4,97,83.51%,4.12%
Dummerston,Zachary Hampl (P),40,3,7,5,55,72.73%,9.09%
Duxbury,Zachary Hampl (P),1,10,2,8,21,4.76%,38.10%
East Haven,Zachary Hampl (P),20,7,1,2,30,66.67%,6.67%
East Montpelier,Zachary Hampl (P),7,7,7,5,26,26.92%,19.23%
Eden,Zachary Hampl (P),80,7,9,8,104,76.92%,7.69%
Elmore,Zachary Hampl (P),62,9,6,7,84,73.81%,8.33%
Enosburgh,Zachary Hampl (P),26,1,7,10,44,59.09%,22.73%
Essex Junction,Zachary Hampl (P),151,7,3,3,164,92.07%,1.83%
Essex,Zachary Hampl (P),171,4,3,1,179,95.53%,0.56%
Fair Haven,Zachary Hampl (P),94,9,8,0,111,84.68%,0.00%
Fairfax,Zachary Hampl (P),5,2,5,3,15,33.33%,20.00%
Fairfield,Zachary Hampl (P),41,6,3,7,57,71.93%,12.28%
Fairlee,Zachary Hampl (P),19,6,6,5,36,52.78%,13.89%
Fayston,Zachary Hampl (P),32,2,5,5,44,72.73%,11.36%
Ferrisburgh,Zachary Hampl (P),78,7,0,7,92,84.78%,7.61%
Fletcher,Zachary Hampl (P),2,2,3,7,14,14.29%,50.00%
Franklin,Zachary Hampl (P),10,10,4,7,31,32.26%,22.58%
Georgia,Zachary Hampl (P),112,5,2,1,120,93.33%,0.83%
Glover,Zachary Hampl (P),36,1,5,4,46,78.26%,8.70%
Goshen,Zachary Hampl (P),36,7,10,1,54,66.67%,1.85%
Grafton,Zachary Hampl (P),59,3,1,3,66,89.39%,4.55%
Granby,Zachary Hampl (P),79,6,4,6,95,83.16%,6.32%
Grand Isle,Zachary Hampl (P),47,2,4,4,57,82.46%,7.02%
Granville,Zachary Hampl (P),21,1,10,6,38,55.26%,15.79%
Greensboro,Zachary Hampl (P),10,8,4,5,27,37.04%,18.52%
Groton,Zachary Hampl (P),45,9,1,3,58,77.59%,5.17%
Guildhall,Zachary Hampl (P),28,2,3,8,41,68.29%,19.51%
Guilford,Zachary Hampl (P),89,2,4,5,100,89.00%,5.00%
Halifax,Zachary Hampl (P),92,8,8,5,113,81.42%,4.42%
Hancock,Zachary Hampl (P),61,7,10,0,78,78.21%,0.00%
Hardwick,Zachary Hampl (P),37,8,5,6,56,66.07%,10.71%
Hartford,Zachary Hampl (P),39,3,10,6,58,67.24%,10.34%
Hartland,Zachary Hampl (P),36,2,1,2,41,87.80%,4.88%
Highgate,Zachary Hampl (P),14,1,3,6,24,58.33%,25.00%
Hinesburg,Zachary Hampl (P),99,6,7,4,116,85.34%,3.45%
Holland,Zachary Hampl (P),65,5,9,5,84,77.38%,5.95%
Hubbardton,Zachary Hampl (P),32,7,1,1,41,78.05%,2.44%
Huntington,Zachary Hampl (P),25,2,2,8,37,67.57%,21.62%
Hyde Park,Zachary Hampl (P),105,2,8,6,121,86.78%,4.96%
Ira,Zachary Hampl (P),42,1,3,5,51,82.35%,9.80%
Irasburg,Zachary Hampl (P),50,3,8,2,63,79.37%,3.17%
Isle La Motte,Zachary Hampl (P),48,2,1,7,58,82.76%,12.07%
Jamaica,Zachary Hampl (P),74,1,4,8,87,85.06%,9.20%
Jay,Zachary Hampl (P),34,6,3,7,50,68.00%,14.00%
Jericho,Zachary Hampl (P),101,4,10,7,122,82.79%,5.74%
Johnson,Zachary Hampl (P),68,0,1,7,76,89.47%,9.21%
Killington,Zachary Hampl (P),2,1,10,1,14,14.29%,7.14%
Kirby,Zachary Hampl (P),25,4,7,6,42,59.52%,14.29%
Landgrove,Zachary Hampl (P),81,1,4,7,93,87.10%,7.53%
Leicester,Zachary Hampl (P),71,1,8,5,85,83.53%,5.88%
Lemington,Zachary Hampl (P),84,4,3,6,97,86.60%,6.19%
Lincoln,Zachary Hampl (P),50,2,5,6,63,79.37%,9.52%
Londonderry,Zachary Hampl (P),45,2,8,7,62,72.58%,11.29%
Lowell,Zachary Hampl (P),75,8,7,6,96,78.12%,6.25%
Ludlow,Zachary Hampl (P),26,2,5,4,37,70.27%,10.81%
Lunenburg,Zachary Hampl (P),81,9,7,2,99,81.82%,2.02%
Lyndon,Zachary Hampl (P),85,2,7,1,95,89.47%,1.05%
Maidstone,Zachary Hampl (P),93,8,2,3,106,87.74%,2.83%
Manchester,Zachary Hampl (P),84,3,1,1,89,94.38%,1.12%
Marlboro,Zachary Hampl (P),32,5,4,3,44,72.73%,6.82%
Marshfield,Zachary Hampl (P),97,2,3,4,106,91.51%,3.77%
Mendon,Zachary Hampl (P),88,1,7,0,96,91.67%,0.00%
Middlebury,Zachary Hampl (P),150,10,6,8,174,86.21%,4.60%
Middlesex,Zachary Hampl (P),20,1,5,2,28,71.43%,7.14%
Middletown Springs,Zachary Hampl (P),66,6,10,6,88,75.00%,6.82%
Milton,Zachary Hampl (P),128,8,8,10,154,83.12%,6.49%
Monkton,Zachary Hampl (P),72,1,8,9,90,80.00%,10.00%
Montgomery,Zachary Hampl (P),15,5,2,3,25,60.00%,12.00%
Montpelier,Zachary Hampl (P),18,5,2,4,29,62.07%,13.79%
Moretown,Zachary Hampl (P),105,9,4,5,123,85.37%,4.07%
Morgan,Zachary Hampl (P),95,6,8,10,119,79.83%,8.40%
Morristown,Zachary Hampl (P),101,1,9,5,116,87.07%,4.31%
Mount Holly,Zachary Hampl (P),14,4,1,8,27,51.85%,29.63%
