City/Town,Leading Candidate,H. Brooke Paige (R),Write-Ins,Blanks,Overvotes,Total Votes Cast,H. Brooke Paige (R) Percent Votes Cast,Overvotes Percent
Addison,H. Brooke Paige (R),3,2,6,4,15,20.00%,26.67%
Albany,H. Brooke Paige (R),84,1,1,4,90,93.33%,4.44%
Alburgh,H. Brooke Paige (R),96,6,3,1,106,90.57%,0.94%
Andover,H. Brooke Paige (R),16,2,1,1,20,80.00%,5.00%
Arlington,H. Brooke Paige (R),42,9,8,4,63,66.67%,6.35%
Athens,H. Brooke Paige (R),33,7,6,3,49,67.35%,6.12%
Bakersfield,H. Brooke Paige (R),39,3,1,6,49,79.59%,12.24%
Baltimore,H. Brooke Paige (R),77,5,6,1,89,86.52%,1.12%
Barnard,H. Brooke Paige (R),15,0,8,6,29,51.72%,20.69%
Barnet,H. Brooke Paige (R),70,6,6,10,92,76.09%,10.87%
Barre City,H. Brooke Paige (R),71,3,5,1,80,88.75%,1.25%
Barre Town,H. Brooke Paige (R),44,1,0,2,47,93.62%,4.26%
Barton,H. Brooke Paige (R),99,6,2,7,114,86.84%,6.14%
Belvidere,H. Brooke Paige (R),30,8,9,0,47,63.83%,0.00%
Bennington,H. Brooke Paige (R),43,5,3,9,60,71.67%,15.00%
Benson,H. Brooke Paige (R),81,9,8,2,100,81.00%,2.00%
Berkshire,H. Brooke Paige (R),107,0,8,1,116,92.24%,0.86%
Berlin,H. Brooke Paige (R),67,6,2,0,75,89.33%,0.00%
Bethel,H. Brooke Paige (R),67,1,10,6,84,79.76%,7.14%
Bloomfield,H. Brooke Paige (R),63,3,4,0,70,90.00%,0.00%
Bolton,H. Brooke Paige (R),29,7,8,8,52,55.77%,15.38%
Bradford,H. Brooke Paige (R),28,4,8,4,44,63.64%,9.09%
Braintree,H. Brooke Paige (R),21,10,7,6,44,47.73%,13.64%
Brandon,H. Brooke Paige (R),73,6,4,6,89,82.02%,6.74%
Brattleboro,H. Brooke Paige (R),163,7,10,7,187,87.17%,3.74%
Bridgewater,H. Brooke Paige (R),49,6,2,3,60,81.67%,5.00%
Bridport,H. Brooke Paige (R),72,9,5,6,92,78.26%,6.52%
Brighton,H. Brooke Paige (R),42,5,1,9,57,73.68%,15.79%
Bristol,H. Brooke Paige (R),16,1,7,5,29,55.17%,17.24%
Brookfield,H. Brooke Paige (R),15,10,3,6,34,44.12%,17.65%
Brookline,H. Brooke Paige (R),49,7,3,4,63,77.78%,6.35%
Brownington,H. Brooke Paige (R),55,10,2,7,74,74.32%,9.46%
Brunswick,H. Brooke Paige (R),86,1,3,1,91,94.51%,1.10%
Burke,H. Brooke Paige (R),92,7,4,5,108,85.19%,4.63%
Burlington,H. Brooke Paige (R),204,9,10,7,230,88.70%,3.04%
Cabot,H. Brooke Paige (R),22,7,2,7,38,57.89%,18.42%
Calais,H. Brooke Paige (R),63,6,4,7,80,78.75%,8.75%
Cambridge,H. Brooke Paige (R),8,7,3,1,19,42.11%,5.26%
Canaan,H. Brooke Paige (R),95,5,3,8,111,85.59%,7.21%
Castleton,H. Brooke Paige (R),83,5,7,7,102,81.37%,6.86%
Cavendish,H. Brooke Paige (R),67,4,7,5,83,80.72%,6.02%
Charleston,H. Brooke Paige (R),28,2,3,6,39,71.79%,15.38%
Charlotte,H. Brooke Paige (R),20,3,5,7,35,57.14%,20.00%
Chelsea,H. Brooke Paige (R),101,3,5,3,112,90.18%,2.68%
Chester,H. Brooke Paige (R),3,5,5,7,20,15.00%,35.00%
Chittenden,H. Brooke Paige (R),6,3,10,6,25,24.00%,24.00%
Clarendon,H. Brooke Paige (R),107,1,5,5,118,90.68%,4.24%
Colchester,H. Brooke Paige (R),94,8,8,6,116,81.03%,5.17%
Concord,H. Brooke Paige (R),54,1,2,8,65,83.08%,12.31%
Corinth,H. Brooke Paige (R),67,9,4,7,87,77.01%,8.05%
Cornwall,H. Brooke Paige (R),72,1,8,3,84,85.71%,3.57%
Coventry,H. Brooke Paige (R),107,7,3,2,119,89.92%,1.68%
Craftsbury,H. Brooke Paige (R),77,7,10,3,97,79.38%,3.09%
Danby,H. Brooke Paige (R),12,1,3,6,22,54.55%,27.27%
Danville,H. Brooke Paige (R),25,9,1,4,39,64.10%,10.26%
Derby,H. Brooke Paige (R),22,1,2,7,32,68.75%,21.88%
Dorset,H. Brooke Paige (R),72,3,8,1,84,85.71%,1.19%
Dover,H. Brooke Paige (R),44,10,5,5,64,68.75%,7.81%
Dummerston,H. Brooke Paige (R),52,4,8,1,65,80.00%,1.54%
Duxbury,H. Brooke Paige (R),21,6,3,1,31,67.74%,3.23%
East Haven,H. Brooke Paige (R),73,3,10,10,96,76.04%,10.42%
East Montpelier,H. Brooke Paige (R),86,10,6,5,107,80.37%,4.67%
Eden,H. Brooke Paige (R),51,8,8,5,72,70.83%,6.94%
Elmore,H. Brooke Paige (R),4,1,1,7,13,30.77%,53.85%
Enosburgh,H. Brooke Paige (R),73,1,2,4,80,91.25%,5.00%
Essex Junction,H. Brooke Paige (R),109,6,1,9,125,87.20%,7.20%
Essex,H. Brooke Paige (R),44,7,8,8,67,65.67%,11.94%
Fair Haven,H. Brooke Paige (R),62,9,5,2,78,79.49%,2.56%
Fairfax,H. Brooke Paige (R),42,6,7,3,58,72.41%,5.17%
Fairfield,H. Brooke Paige (R),70,2,2,2,76,92.11%,2.63%
Fairlee,H. Brooke Paige (R),71,5,5,1,82,86.59%,1.22%
Fayston,H. Brooke Paige (R),106,9,6,4,125,84.80%,3.20%
Ferrisburgh,H. Brooke Paige (R),103,1,7,6,117,88.03%,5.13%
Fletcher,H. Brooke Paige (R),69,0,1,3,73,94.52%,4.11%
Franklin,H. Brooke Paige (R),94,2,6,1,103,91.26%,0.97%
Georgia,H. Brooke Paige (R),91,4,6,8,109,83.49%,7.34%
Glover,H. Brooke Paige (R),66,4,9,0,79,83.54%,0.00%
Goshen,H. Brooke Paige (R),6,1,5,4,16,37.50%,25.00%
Grafton,H. Brooke Paige (R),5,0,0,3,8,62.50%,37.50%
Granby,H. Brooke Paige (R),55,5,7,9,76,72.37%,11.84%
Grand Isle,H. Brooke Paige (R),6,5,9,2,22,27.27%,9.09%
Granville,H. Brooke Paige (R),51,5,6,4,66,77.27%,6.06%
Greensboro,H. Brooke Paige (R),22,9,5,1,37,59.46%,2.70%
Groton,H. Brooke Paige (R),59,3,6,4,72,81.94%,5.56%
Guildhall,H. Brooke Paige (R),31,7,3,7,48,64.58%,14.58%
Guilford,H. Brooke Paige (R),99,2,6,1,108,91.67%,0.93%
Halifax,H. Brooke Paige (R),57,4,7,6,74,77.03%,8.11%
Hancock,H. Brooke Paige (R),75,7,1,4,87,86.21%,4.60%
Hardwick,H. Brooke Paige (R),48,5,9,1,63,76.19%,1.59%
Hartford,H. Brooke Paige (R),118,10,5,9,142,83.10%,6.34%
Hartland,H. Brooke Paige (R),83,6,0,5,94,88.30%,5.32%
Highgate,H. Brooke Paige (R),88,7,6,8,109,80.73%,7.34%
Hinesburg,H. Brooke Paige (R),140,5,1,3,149,93.96%,2.01%
Holland,H. Brooke Paige (R),12,2,7,6,27,44.44%,22.22%
Hubbardton,H. Brooke Paige (R),10,7,3,7,27,37.04%,25.93%
Huntington,H. Brooke Paige (R),32,4,1,3,40,80.00%,7.50%
Hyde Park,H. Brooke Paige (R),77,1,6,3,87,88.51%,3.45%
Ira,H. Brooke Paige (R),18,4,0,3,25,72.00%,12.00%
Irasburg,H. Brooke Paige (R),4,5,1,4,14,28.57%,28.57%
Isle La Motte,H. Brooke Paige (R),34,4,4,1,43,79.07%,2.33%
Jamaica,H. Brooke Paige (R),26,8,6,3,43,60.47%,6.98%
Jay,H. Brooke Paige (R),8,2,1,8,19,42.11%,42.11%
Jericho,H. Brooke Paige (R),25,5,7,7,44,56.82%,15.91%
Johnson,H. Brooke Paige (R),76,1,3,4,84,90.48%,4.76%
Killington,H. Brooke Paige (R),58,2,8,5,73,79.45%,6.85%
Kirby,H. Brooke Paige (R),56,1,10,6,73,76.71%,8.22%
Landgrove,H. Brooke Paige (R),71,1,0,4,76,93.42%,5.26%
Leicester,H. Brooke Paige (R),6,4,3,3,16,37.50%,18.75%
Lemington,H. Brooke Paige (R),55,1,5,2,63,87.30%,3.17%
Lincoln,H. Brooke Paige (R),22,7,8,1,38,57.89%,2.63%
Londonderry,H. Brooke Paige (R),105,3,1,2,111,94.59%,1.80%
Lowell,H. Brooke Paige (R),94,5,8,8,115,81.74%,6.96%
Ludlow,H. Brooke Paige (R),19,7,7,3,36,52.78%,8.33%
Lunenburg,H. Brooke Paige (R),6,6,1,5,18,33.33%,27.78%
Lyndon,H. Brooke Paige (R),28,9,7,1,45,62.22%,2.22%
Maidstone,H. Brooke Paige (R),27,0,1,5,33,81.82%,15.15%
Manchester,H. Brooke Paige (R),86,1,0,0,87,98.85%,0.00%
Marlboro,H. Brooke Paige (R),71,6,8,6,91,78.02%,6.59%
Marshfield,H. Brooke Paige (R),94,5,9,8,116,81.03%,6.90%
Mendon,H. Brooke Paige (R),34,9,1,4,48,70.83%,8.33%
Middlebury,H. Brooke Paige (R),137,8,6,7,158,86.71%,4.43%
Middlesex,H. Brooke Paige (R),99,4,4,5,112,88.39%,4.46%
Middletown Springs,H. Brooke Paige (R),2,7,3,10,22,9.09%,45.45%
Milton,H. Brooke Paige (R),65,7,10,8,90,72.22%,8.89%
Monkton,H. Brooke Paige (R),68,9,1,4,82,82.93%,4.88%
Montgomery,H. Brooke Paige (R),40,9,7,2,58,68.97%,3.45%
Montpelier,H. Brooke Paige (R),94,6,4,6,110,85.45%,5.45%
Moretown,H. Brooke Paige (R),57,2,1,7,67,85.07%,10.45%
Morgan,H. Brooke Paige (R),81,2,2,7,92,88.04%,7.61%
Morristown,H. Brooke Paige (R),35,6,5,7,53,66.04%,13.21%
Mount Holly,H. Brooke Paige (R),43,7,1,4,55,78.18%,7.27%
Mount Tabor,H. Brooke Paige (R),14,5,2,6,27,51.85%,22.22%
New Haven,H. Brooke Paige (R),64,6,8,8,86,74.42%,9.30%
Newark,H. Brooke Paige (R),53,0,0,6,59,89.83%,10.17%
Newbury,H. Brooke Paige (R),64,1,1,9,75,85.33%,12.00%
Newfane,H. Brooke Paige (R),64,7,4,8,83,77.11%,9.64%
Newport City,H. Brooke Paige (R),73,2,3,1,79,92.41%,1.27%
Newport Town,H. Brooke Paige (R),64,6,2,1,73,87.67%,1.37%
North Hero,H. Brooke Paige (R),109,8,3,2,122,89.34%,1.64%
Northfield,H. Brooke Paige (R),17,7,4,1,29,58.62%,3.45%
Norton,H. Brooke Paige (R),41,3,5,5,54,75.93%,9.26%
Norwich,H. Brooke Paige (R),109,8,6,0,123,88.62%,0.00%
Orange,H. Brooke Paige (R),45,2,1,2,50,90.00%,4.00%
Orwell,H. Brooke Paige (R),39,7,0,5,51,76.47%,9.80%
Panton,H. Brooke Paige (R),10,8,8,3,29,34.48%,10.34%
Pawlet,H. Brooke Paige (R),38,3,1,3,45,84.44%,6.67%
Peacham,H. Brooke Paige (R),59,1,7,1,68,86.76%,1.47%
Peru,H. Brooke Paige (R),6,9,5,6,26,23.08%,23.08%
Pittsfield,H. Brooke Paige (R),85,1,1,7,94,90.43%,7.45%
Pittsford,H. Brooke Paige (R),53,5,3,6,67,79.10%,8.96%
Plainfield,H. Brooke Paige (R),103,8,4,5,120,85.83%,4.17%
Plymouth,H. Brooke Paige (R),86,1,3,2,92,93.48%,2.17%
Pomfret,H. Brooke Paige (R),77,4,3,3,87,88.51%,3.45%
Poultney,H. Brooke Paige (R),33,6,4,4,47,70.21%,8.51%
Pownal,H. Brooke Paige (R),107,5,9,5,126,84.92%,3.97%
Proctor,H. Brooke Paige (R),18,4,1,1,24,75.00%,4.17%
Putney,H. Brooke Paige (R),66,1,7,2,76,86.84%,2.63%
