City/Town,Leading Candidate,Peter Bevere (D),Write-Ins,Blanks,Overvotes,Total Votes Cast,Peter Bevere (D) Percent Votes Cast,Overvotes Percent
Addison,Peter Bevere (D),27,5,8,3,43,62.79%,6.98%
Bridport,Peter Bevere (D),45,1,7,7,60,75.00%,11.67%
Bristol,Peter Bevere (D),27,6,7,9,49,55.10%,18.37%
Cornwall,Peter Bevere (D),4,10,2,8,24,16.67%,33.33%
Ferrisburgh,Peter Bevere (D),20,7,9,2,38,52.63%,5.26%
Goshen,Peter Bevere (D),32,8,5,7,52,61.54%,13.46%
Granville,Peter Bevere (D),46,1,5,1,53,86.79%,1.89%
Hancock,Peter Bevere (D),88,1,4,5,98,89.80%,5.10%
Leicester,Peter Bevere (D),19,4,1,2,26,73.08%,7.69%
Lincoln,Peter Bevere (D),66,4,5,9,84,78.57%,10.71%
Middlebury,Peter Bevere (D),215,4,1,4,224,95.98%,1.79%
Monkton,Peter Bevere (D),88,4,8,3,103,85.44%,2.91%
New Haven,Peter Bevere (D),171,8,6,7,192,89.06%,3.65%
Orwell,Peter Bevere (D),48,2,2,2,54,88.89%,3.70%
Panton,Peter Bevere (D),43,4,4,1,52,82.69%,1.92%
Ripton,Peter Bevere (D),104,3,9,5,121,85.95%,4.13%
Salisbury,Peter Bevere (D),46,10,10,0,66,69.70%,0.00%
Shoreham,Peter Bevere (D),40,1,10,1,52,76.92%,1.92%
Starksboro,Peter Bevere (D),88,2,8,1,99,88.89%,1.01%
Vergennes,Peter Bevere (D),91,3,8,8,110,82.73%,7.27%
Waltham,Peter Bevere (D),68,6,6,8,88,77.27%,9.09%
Weybridge,Peter Bevere (D),10,6,7,10,33,30.30%,30.30%
Whiting,Peter Bevere (D),54,10,8,1,73,73.97%,1.37%
