City/Town,Leading Candidate,Erica Albin Marthage (D),Write-Ins,Blanks,Overvotes,Total Votes Cast,Erica Albin Marthage (D) Percent Votes Cast,Overvotes Percent
Arlington,Erica Albin Marthage (D),67,1,4,4,76,88.16%,5.26%
Bennington,Erica Albin Marthage (D),84,7,5,5,101,83.17%,4.95%
Dorset,Erica Albin Marthage (D),10,5,2,6,23,43.48%,26.09%
Landgrove,Erica Albin Marthage (D),43,5,8,10,66,65.15%,15.15%
Manchester,Erica Albin Marthage (D),89,9,4,10,112,79.46%,8.93%
Peru,Erica Albin Marthage (D),23,6,3,8,40,57.50%,20.00%
Pownal,Erica Albin Marthage (D),110,8,6,7,131,83.97%,5.34%
Readsboro,Erica Albin Marthage (D),71,10,9,10,100,71.00%,10.00%
Rupert,Erica Albin Marthage (D),63,2,5,6,76,82.89%,7.89%
Sandgate,Erica Albin Marthage (D),89,0,1,0,90,98.89%,0.00%
Searsburg,Erica Albin Marthage (D),85,4,7,1,97,87.63%,1.03%
Shaftsbury,Erica Albin Marthage (D),39,7,5,9,60,65.00%,15.00%
Stamford,Erica Albin Marthage (D),98,1,4,4,107,91.59%,3.74%
Sunderland,Erica Albin Marthage (D),174,5,7,7,193,90.16%,3.63%
Winhall,Erica Albin Marthage (D),8,1,9,0,18,44.44%,0.00%
Woodford,Erica Albin Marthage (D),65,5,0,1,71,91.55%,1.41%
