City/Town,Leading Candidate,Claire E. Burns (R),Write-Ins,Blanks,Overvotes,Total Votes Cast,Claire E. Burns (R) Percent Votes Cast,Overvotes Percent
Barnet,Claire E. Burns (R),23,1,5,2,31,74.19%,6.45%
Burke,Claire E. Burns (R),43,2,2,5,52,82.69%,9.62%
Danville,Claire E. Burns (R),9,8,4,1,22,40.91%,4.55%
Groton,Claire E. Burns (R),70,0,3,3,76,92.11%,3.95%
Hardwick,Claire E. Burns (R),97,5,5,0,107,90.65%,0.00%
Kirby,Claire E. Burns (R),34,10,3,5,52,65.38%,9.62%
Lyndon,Claire E. Burns (R),30,3,1,1,35,85.71%,2.86%
Newark,Claire E. Burns (R),26,8,8,3,45,57.78%,6.67%
Peacham,Claire E. Burns (R),98,3,1,4,106,92.45%,3.77%
Ryegate,Claire E. Burns (R),11,2,6,0,19,57.89%,0.00%
Saint Johnsbury,Claire E. Burns (R),1,0,1,8,10,10.00%,80.00%
Sheffield,Claire E. Burns (R),75,2,4,8,89,84.27%,8.99%
Stannard,Claire E. Burns (R),5,8,8,2,23,21.74%,8.70%
Sutton,Claire E. Burns (R),10,8,3,1,22,45.45%,4.55%
Walden,Claire E. Burns (R),46,7,1,6,60,76.67%,10.00%
Waterford,Claire E. Burns (R),53,10,0,9,72,73.61%,12.50%
Wheelock,Claire E. Burns (R),109,8,6,1,124,87.90%,0.81%
