City/Town,Leading Candidate,Bram Kranichfeld (D),Sarah F. George (D),Write-Ins,Blanks,Overvotes,Total Votes Cast,Bram Kranichfeld (D) Percent Votes Cast,Sarah F. George (D) Percent Votes Cast,Overvotes Percent
Bolton,Sarah F. George (D),4,34,6,10,4,58,6.90%,58.62%,6.90%
Burlington,Bram Kranichfeld (D),242,235,10,9,10,506,47.83%,46.44%,1.98%
Charlotte,Bram Kranichfeld (D),57,45,8,6,3,119,47.90%,37.82%,2.52%
Colchester,Sarah F. George (D),43,157,7,10,9,226,19.03%,69.47%,3.98%
Essex Junction,Bram Kranichfeld (D),181,40,7,8,8,244,74.18%,16.39%,3.28%
Essex,Sarah F. George (D),58,81,10,8,8,165,35.15%,49.09%,4.85%
Hinesburg,Bram Kranichfeld (D),172,66,8,8,9,263,65.40%,25.10%,3.42%
Huntington,Bram Kranichfeld (D),58,2,10,5,10,85,68.24%,2.35%,11.76%
Jericho,Sarah F. George (D),15,67,4,4,8,98,15.31%,68.37%,8.16%
Milton,Sarah F. George (D),67,158,10,7,9,251,26.69%,62.95%,3.59%
Richmond,Sarah F. George (D),59,83,8,8,2,160,36.88%,51.88%,1.25%
Saint George,Bram Kranichfeld (D),42,33,5,8,8,96,43.75%,34.38%,8.33%
Shelburne,Bram Kranichfeld (D),176,142,7,5,5,335,52.54%,42.39%,1.49%
South Burlington,Bram Kranichfeld (D),262,236,9,9,10,526,49.81%,44.87%,1.90%
Underhill,Sarah F. George (D),11,87,8,8,1,115,9.57%,75.65%,0.87%
Westford,Sarah F. George (D),25,70,10,8,1,114,21.93%,61.40%,0.88%
Williston,Sarah F. George (D),66,109,10,10,8,203,32.51%,53.69%,3.94%
Winooski,Bram Kranichfeld (D),49,44,8,8,3,112,43.75%,39.29%,2.68%
