City/Town,Leading Candidate,JOHN LAVOIE,Write-Ins,Blanks,Overvotes,Total Votes Cast,JOHN LAVOIE Percent Votes Cast,Overvotes Percent
Bakersfield,JOHN LAVOIE,75,4,4,9,92,81.52%,9.78%
Berkshire,JOHN LAVOIE,41,5,1,4,51,80.39%,7.84%
Enosburgh,JOHN LAVOIE,90,6,8,6,110,81.82%,5.45%
Fairfax,JOHN LAVOIE,8,8,8,7,31,25.81%,22.58%
Fairfield,JOHN LAVOIE,6,3,9,3,21,28.57%,14.29%
Fletcher,JOHN LAVOIE,69,6,4,4,83,83.13%,4.82%
Franklin,JOHN LAVOIE,10,8,8,8,34,29.41%,23.53%
Georgia,JOHN LAVOIE,83,4,9,7,103,80.58%,6.80%
Highgate,JOHN LAVOIE,19,5,4,1,29,65.52%,3.45%
Montgomery,JOHN LAVOIE,9,3,4,5,21,42.86%,23.81%
Richford,JOHN LAVOIE,108,9,5,0,122,88.52%,0.00%
Saint Albans City,JOHN LAVOIE,131,5,2,4,142,92.25%,2.82%
Saint Albans Town,JOHN LAVOIE,114,4,8,9,135,84.44%,6.67%
Sheldon,JOHN LAVOIE,1,1,1,2,5,20.00%,40.00%
Swanton,JOHN LAVOIE,66,2,5,3,76,86.84%,3.95%
