City/Town,Leading Candidate,Zach Weight (R),Write-Ins,Blanks,Overvotes,Total Votes Cast,Zach Weight (R) Percent Votes Cast,Overvotes Percent
Bakersfield,Zach Weight (R),97,48,26,72,243,39.92%,29.63%
Berkshire,Zach Weight (R),108,54,27,81,270,40.00%,30.00%
Enosburgh,Zach Weight (R),226,113,58,170,567,39.86%,29.98%
Fairfax,Zach Weight (R),421,210,107,315,1053,39.98%,29.91%
Fairfield,Zach Weight (R),151,75,39,113,378,39.95%,29.89%
Fletcher,Zach Weight (R),108,54,27,81,270,40.00%,30.00%
Franklin,Zach Weight (R),108,54,27,81,270,40.00%,30.00%
Georgia,Zach Weight (R),398,167,85,251,901,44.17%,27.86%
Highgate,Zach Weight (R),259,129,66,194,648,39.97%,29.94%
Montgomery,Zach Weight (R),97,48,26,72,243,39.92%,29.63%
Richford,Zach Weight (R),172,86,45,129,432,39.81%,29.86%
Saint Albans City,Zach Weight (R),604,210,107,315,1236,48.87%,25.49%
Saint Albans Town,Zach Weight (R),550,178,90,267,1085,50.69%,24.61%
Sheldon,Zach Weight (R),151,75,39,113,378,39.95%,29.89%
Swanton,Zach Weight (R),496,248,126,372,1242,39.94%,29.95%
