City/Town,Leading Candidate,Aliena J. Gerhard (D),Write-Ins,Blanks,Overvotes,Total Votes Cast,Aliena J. Gerhard (D) Percent Votes Cast,Overvotes Percent
Belvidere,Aliena J. Gerhard (D),80,2,7,7,96,83.33%,7.29%
Cambridge,Aliena J. Gerhard (D),34,1,9,3,47,72.34%,6.38%
Eden,Aliena J. Gerhard (D),48,10,7,3,68,70.59%,4.41%
Elmore,Aliena J. Gerhard (D),8,3,8,10,29,27.59%,34.48%
Hyde Park,Aliena J. Gerhard (D),39,7,7,6,59,66.10%,10.17%
Johnson,Aliena J. Gerhard (D),27,0,7,2,36,75.00%,5.56%
Morristown,Aliena J. Gerhard (D),22,2,10,2,36,61.11%,5.56%
Stowe,Aliena J. Gerhard (D),8,6,6,6,26,30.77%,23.08%
Waterville,Aliena J. Gerhard (D),35,0,3,4,42,83.33%,9.52%
Wolcott,Aliena J. Gerhard (D),78,6,8,2,94,82.98%,2.13%
