City/Town,Leading Candidate,Colin L. Seaman (D),Write-Ins,Blanks,Overvotes,Total Votes Cast,Colin L. Seaman (D) Percent Votes Cast,Overvotes Percent
Bradford,Colin L. Seaman (D),6,7,1,5,19,31.58%,26.32%
Braintree,Colin L. Seaman (D),66,8,10,5,89,74.16%,5.62%
Brookfield,Colin L. Seaman (D),89,7,8,8,112,79.46%,7.14%
Chelsea,Colin L. Seaman (D),3,7,3,8,21,14.29%,38.10%
Corinth,Colin L. Seaman (D),2,3,6,0,11,18.18%,0.00%
Fairlee,Colin L. Seaman (D),15,8,1,8,32,46.88%,25.00%
Newbury,Colin L. Seaman (D),78,2,7,1,88,88.64%,1.14%
Orange,Colin L. Seaman (D),108,4,4,2,118,91.53%,1.69%
Randolph,Colin L. Seaman (D),82,7,5,1,95,86.32%,1.05%
Strafford,Colin L. Seaman (D),38,2,6,7,53,71.70%,13.21%
Thetford,Colin L. Seaman (D),15,8,2,1,26,57.69%,3.85%
Topsham,Colin L. Seaman (D),1,2,9,4,16,6.25%,25.00%
Tunbridge,Colin L. Seaman (D),4,7,2,2,15,26.67%,13.33%
Vershire,Colin L. Seaman (D),93,4,5,6,108,86.11%,5.56%
Washington,Colin L. Seaman (D),98,5,4,5,112,87.50%,4.46%
West Fairlee,Colin L. Seaman (D),57,1,0,0,58,98.28%,0.00%
Williamstown,Colin L. Seaman (D),101,8,4,8,121,83.47%,6.61%
