City/Town,Leading Candidate,Ian C. Sullivan (D),Write-Ins,Blanks,Overvotes,Total Votes Cast,Ian C. Sullivan (D) Percent Votes Cast,Overvotes Percent
Chittenden,Ian C. Sullivan (D),89,0,26,0,115,77.39%,0.00%
Clarendon,Ian C. Sullivan (D),95,0,20,0,115,82.61%,0.00%
Mendon,Ian C. Sullivan (D),64,0,27,0,91,70.33%,0.00%
Middletown Springs,Ian C. Sullivan (D),84,1,27,0,112,75.00%,0.00%
Mount Holly,Ian C. Sullivan (D),118,1,36,0,155,76.13%,0.00%
Pawlet,Ian C. Sullivan (D),119,2,33,0,154,77.27%,0.00%
Proctor,Ian C. Sullivan (D),59,1,20,0,80,73.75%,0.00%
Rutland City,Ian C. Sullivan (D),189,0,69,0,258,73.26%,0.00%
Sudbury,Ian C. Sullivan (D),45,1,28,0,74,60.81%,0.00%
Wells,Ian C. Sullivan (D),58,0,12,0,70,82.86%,0.00%
