City/Town,Leading Candidate,Michelle Donnelly (D),Write-Ins,Blanks,Overvotes,Total Votes Cast,Michelle Donnelly (D) Percent Votes Cast,Overvotes Percent
Barre City,Michelle Donnelly (D),1,6,6,1,14,7.14%,7.14%
Barre Town,Michelle Donnelly (D),85,5,4,4,98,86.73%,4.08%
Berlin,Michelle Donnelly (D),99,6,5,4,114,86.84%,3.51%
Cabot,Michelle Donnelly (D),63,0,9,10,82,76.83%,12.20%
Calais,Michelle Donnelly (D),82,8,1,8,99,82.83%,8.08%
Duxbury,Michelle Donnelly (D),28,10,4,1,43,65.12%,2.33%
East Montpelier,Michelle Donnelly (D),44,8,8,10,70,62.86%,14.29%
Fayston,Michelle Donnelly (D),60,5,7,2,74,81.08%,2.70%
Marshfield,Michelle Donnelly (D),8,6,2,4,20,40.00%,20.00%
Middlesex,Michelle Donnelly (D),32,4,6,4,46,69.57%,8.70%
Montpelier,Michelle Donnelly (D),31,6,3,8,48,64.58%,16.67%
Moretown,Michelle Donnelly (D),68,2,3,2,75,90.67%,2.67%
Northfield,Michelle Donnelly (D),7,8,1,1,17,41.18%,5.88%
Plainfield,Michelle Donnelly (D),68,2,2,5,77,88.31%,6.49%
Roxbury,Michelle Donnelly (D),20,5,2,0,27,74.07%,0.00%
Waitsfield,Michelle Donnelly (D),59,6,7,10,82,71.95%,12.20%
Warren,Michelle Donnelly (D),16,3,4,5,28,57.14%,17.86%
Waterbury,Michelle Donnelly (D),1,9,3,0,13,7.69%,0.00%
Woodbury,Michelle Donnelly (D),3,6,3,1,13,23.08%,7.69%
Worcester,Michelle Donnelly (D),56,8,8,7,79,70.89%,8.86%
