City/Town,Leading Candidate,Steven M. Brown (D),Write-Ins,Blanks,Overvotes,Total Votes Cast,Steven M. Brown (D) Percent Votes Cast,Overvotes Percent
Athens,Steven M. Brown (D),53,3,2,1,59,89.83%,1.69%
Brattleboro,Steven M. Brown (D),183,9,8,7,207,88.41%,3.38%
Brookline,Steven M. Brown (D),41,7,0,5,53,77.36%,9.43%
Dover,Steven M. Brown (D),71,9,1,4,85,83.53%,4.71%
Dummerston,Steven M. Brown (D),72,9,6,2,89,80.90%,2.25%
Grafton,Steven M. Brown (D),79,1,1,7,88,89.77%,7.95%
Guilford,Steven M. Brown (D),10,5,8,3,26,38.46%,11.54%
Halifax,Steven M. Brown (D),26,0,9,1,36,72.22%,2.78%
Jamaica,Steven M. Brown (D),32,0,0,3,35,91.43%,8.57%
Londonderry,Steven M. Brown (D),45,3,1,0,49,91.84%,0.00%
Marlboro,Steven M. Brown (D),35,3,4,5,47,74.47%,10.64%
Newfane,Steven M. Brown (D),75,10,5,5,95,78.95%,5.26%
Putney,Steven M. Brown (D),86,1,10,3,100,86.00%,3.00%
Rockingham,Steven M. Brown (D),93,6,1,1,101,92.08%,0.99%
Stratton,Steven M. Brown (D),33,5,7,8,53,62.26%,15.09%
Townshend,Steven M. Brown (D),8,1,1,5,15,53.33%,33.33%
Vernon,Steven M. Brown (D),14,5,9,6,34,41.18%,17.65%
Wardsboro,Steven M. Brown (D),77,1,8,3,89,86.52%,3.37%
Westminster,Steven M. Brown (D),25,3,5,8,41,60.98%,19.51%
Whitingham,Steven M. Brown (D),81,4,3,10,98,82.65%,10.20%
Wilmington,Steven M. Brown (D),70,5,8,9,92,76.09%,9.78%
Windham,Steven M. Brown (D),74,10,10,7,101,73.27%,6.93%
