City/Town,Leading Candidate,Ward H. Goodenough (D),Write-Ins,Blanks,Overvotes,Total Votes Cast,Ward H. Goodenough (D) Percent Votes Cast,Overvotes Percent
Andover,Ward H. Goodenough (D),82,7,1,1,91,90.11%,1.10%
Baltimore,Ward H. Goodenough (D),12,5,4,2,23,52.17%,8.70%
Barnard,Ward H. Goodenough (D),62,5,8,6,81,76.54%,7.41%
Bethel,Ward H. Goodenough (D),57,2,5,3,67,85.07%,4.48%
Bridgewater,Ward H. Goodenough (D),11,6,4,5,26,42.31%,19.23%
Cavendish,Ward H. Goodenough (D),84,2,1,10,97,86.60%,10.31%
Chester,Ward H. Goodenough (D),51,8,3,2,64,79.69%,3.12%
Hartford,Ward H. Goodenough (D),73,6,6,1,86,84.88%,1.16%
Hartland,Ward H. Goodenough (D),20,3,4,5,32,62.50%,15.62%
Ludlow,Ward H. Goodenough (D),80,3,3,7,93,86.02%,7.53%
Norwich,Ward H. Goodenough (D),69,5,6,0,80,86.25%,0.00%
Plymouth,Ward H. Goodenough (D),9,7,9,7,32,28.12%,21.88%
Pomfret,Ward H. Goodenough (D),99,2,5,8,114,86.84%,7.02%
Reading,Ward H. Goodenough (D),98,7,1,3,109,89.91%,2.75%
Rochester,Ward H. Goodenough (D),104,5,2,7,118,88.14%,5.93%
Royalton,Ward H. Goodenough (D),46,6,3,2,57,80.70%,3.51%
Sharon,Ward H. Goodenough (D),0,8,2,9,19,0.00%,47.37%
Springfield,Ward H. Goodenough (D),81,2,3,7,93,87.10%,7.53%
Stockbridge,Ward H. Goodenough (D),89,3,8,8,108,82.41%,7.41%
Weathersfield,Ward H. Goodenough (D),7,2,6,7,22,31.82%,31.82%
West Windsor,Ward H. Goodenough (D),13,1,3,10,27,48.15%,37.04%
Weston,Ward H. Goodenough (D),36,2,6,6,50,72.00%,12.00%
Windsor,Ward H. Goodenough (D),86,2,4,4,96,89.58%,4.17%
Woodstock,Ward H. Goodenough (D),39,9,3,9,60,65.00%,15.00%
