id,town,county,district,registered_voters,absentee_ballots,accessible_voting_system,defective_ballots,counted_ballots,provisional_ballots,total_ballots_cast,absentee_percent,counted_ballots_percent
16,Addison,,,1121,644,0,3,874,0,0,57.45%,77.97%
17,Albany,,,683,452,0,4,546,0,0,66.18%,79.94%
18,Alburgh,,,1533,606,0,0,1088,0,0,39.53%,70.97%
19,Andover,,,444,214,0,0,368,0,0,48.20%,82.88%
20,Arlington,,,2103,1105,0,6,1502,0,0,52.54%,71.42%
21,Athens,,,265,148,0,2,214,0,0,55.85%,80.75%
22,Bakersfield,,,1007,451,0,2,701,0,0,44.79%,69.61%
23,Baltimore,,,200,73,0,1,143,0,0,36.50%,71.50%
24,Barnard,,,773,450,0,0,674,0,0,58.21%,87.19%
25,Barnet,,,1479,720,0,1,1104,0,0,48.68%,74.65%
26,Barre City,,,5960,3001,0,38,3860,0,0,50.35%,64.77%
27,Barre Town,,,6253,3777,0,55,4839,0,0,60.40%,77.39%
28,Barton,,,2088,988,0,0,1307,0,0,47.32%,62.60%
29,Belvidere,,,244,131,0,2,178,0,0,53.69%,72.95%
30,Bennington,,,10257,4984,0,41,7152,0,0,48.59%,69.73%
31,Benson,,,804,434,0,8,592,0,0,53.98%,73.63%
32,Berkshire,,,1079,549,0,2,721,0,0,50.88%,66.82%
33,Berlin,,,2071,1314,0,0,1553,0,0,63.45%,74.99%
34,Bethel,,,1579,892,0,3,1162,0,0,56.49%,73.59%
35,Bloomfield,,,162,57,0,0,130,0,0,35.19%,80.25%
36,Bolton,,,1025,616,2,1,786,0,0,60.10%,76.68%
37,Bradford,,,2093,1004,0,8,1511,0,0,47.97%,72.19%
38,Braintree,,,1002,472,0,2,718,0,0,47.11%,71.66%
39,Brandon,,,3170,1780,0,25,2209,0,0,56.15%,69.68%
40,Brattleboro,,,9933,5751,0,83,6719,0,0,57.90%,67.64%
41,Bridgewater,,,756,526,0,1,605,0,0,69.58%,80.03%
42,Bridport,,,927,485,0,7,745,0,0,52.32%,80.37%
43,Brighton,,,908,358,0,0,619,0,0,39.43%,68.17%
44,Bristol,,,3188,1619,0,5,2263,0,0,50.78%,70.98%
45,Brookfield,,,1038,649,0,3,856,0,0,62.52%,82.47%
46,Brookline,,,444,280,0,0,335,0,0,63.06%,75.45%
47,Brownington,,,693,315,0,0,494,0,0,45.45%,71.28%
48,Brunswick,,,70,28,0,0,65,0,0,40.00%,92.86%
49,Burke,,,1265,731,0,1,929,0,0,57.79%,73.44%
50,Burlington,,,37091,17180,2,117,22373,1,0,46.32%,60.32%
51,Cabot,,,1173,683,895,0,900,0,0,58.23%,76.73%
52,Calais,,,1437,999,0,4,1154,0,0,69.52%,80.31%
53,Cambridge,,,3416,1717,0,4,2218,0,0,50.26%,64.93%
54,Canaan,,,702,316,0,3,503,0,0,45.01%,71.65%
55,Castleton,,,3215,1410,0,4,2181,0,0,43.86%,67.84%
56,Cavendish,,,1113,506,0,0,796,796,0,45.46%,71.52%
57,Charleston,,,731,406,0,3,543,0,0,55.54%,74.28%
58,Charlotte,,,3317,2606,0,3,2917,0,0,78.56%,87.94%
59,Chelsea,,,976,583,0,7,740,0,0,59.73%,75.82%
60,Chester,,,2447,1227,0,3,1782,0,0,50.14%,72.82%
61,Chittenden,,,1126,632,0,1,858,0,0,56.13%,76.20%
62,Clarendon,,,2093,886,0,0,1484,0,0,42.33%,70.90%
63,Colchester,,,12309,8058,0,33,9692,0,0,65.46%,78.74%
64,Concord,,,900,361,0,5,638,0,0,40.11%,70.89%
65,Corinth,,,1084,572,0,6,842,0,0,52.77%,77.68%
66,Cornwall,,,1040,756,0,0,863,0,0,72.69%,82.98%
67,Coventry,,,799,344,0,5,574,0,0,43.05%,71.84%
68,Craftsbury,,,905,747,0,0,784,0,0,82.54%,86.63%
69,Danby,,,965,503,0,1,766,0,0,52.12%,79.38%
70,Danville,,,1821,1254,0,14,1502,0,0,68.86%,82.48%
71,Derby,,,3554,1709,0,8,2535,0,0,48.09%,71.33%
72,Dorset,,,1840,1120,0,4,1423,0,0,60.87%,77.34%
73,Dover,,,1392,640,0,1,956,0,0,45.98%,68.68%
74,Dummerston,,,1700,1120,0,0,1368,0,0,65.88%,80.47%
75,Duxbury,,,1196,822,0,0,923,0,0,68.73%,77.17%
76,East Haven,,,202,108,0,1,144,0,0,53.47%,71.29%
77,East Montpelier,,,2310,1406,0,1,1781,0,0,60.87%,77.10%
78,Eden,,,926,488,0,7,637,0,0,52.70%,68.79%
79,Elmore,,,777,446,0,0,614,1,0,57.40%,79.02%
80,Enosburgh,,,2281,900,0,21,1284,0,0,39.46%,56.29%
81,Essex,,,16753,10345,6167,24,13549,0,0,61.75%,80.88%
82,Fair Haven,,,1887,804,0,6,1324,0,0,42.61%,70.16%
83,Fairfax,,,3987,2290,0,5,3023,0,0,57.44%,75.82%
84,Fairfield,,,1467,812,0,8,1150,0,0,55.35%,78.39%
85,Fairlee,,,769,545,0,2,635,0,0,70.87%,82.57%
86,Fayston,,,1294,812,0,1,977,0,0,62.75%,75.50%
87,Ferrisburgh,,,2305,1361,0,4,1849,0,0,59.05%,80.22%
88,Fletcher,,,1068,696,0,3,830,0,0,65.17%,77.72%
89,Franklin,,,1009,556,0,8,772,0,0,55.10%,76.51%
90,Georgia,,,3961,1945,0,9,2940,0,0,49.10%,74.22%
91,Glover,,,860,535,0,5,670,0,0,62.21%,77.91%
92,Goshen,,,159,114,0,4,131,0,0,71.70%,82.39%
93,Grafton,,,524,311,0,6,415,0,0,59.35%,79.20%
94,Granby,,,56,20,0,0,43,0,0,35.71%,76.79%
95,Grand Isle,,,1679,1147,0,3,1427,0,0,68.31%,84.99%
96,Granville,,,252,113,0,1,169,0,0,44.84%,67.06%
97,Greensboro,,,629,376,0,0,492,0,0,59.78%,78.22%
98,Groton,,,764,354,0,1,553,0,0,46.34%,72.38%
99,Guildhall,,,206,126,0,0,175,0,0,61.17%,84.95%
100,Guilford,,,1755,1090,0,13,1363,0,0,62.11%,77.66%
101,Halifax,,,598,370,0,1,496,0,0,61.87%,82.94%
102,Hancock,,,293,124,0,0,173,0,0,42.32%,59.04%
103,Hardwick,,,2351,1139,0,6,1591,0,0,48.45%,67.67%
104,Hartford,,,10212,4617,0,47,6306,0,0,45.21%,61.75%
105,Hartland,,,2889,1629,0,13,2222,0,0,56.39%,76.91%
106,Highgate,,,2370,1234,0,4,1745,0,0,52.07%,73.63%
107,Hinesburg,,,4178,2603,0,22,3124,0,0,62.30%,74.77%
108,Holland,,,467,220,0,0,360,0,0,47.11%,77.09%
109,Hubbardton,,,559,305,0,0,431,0,0,54.56%,77.10%
110,Huntington,,,1722,1051,2,7,1419,0,0,61.03%,82.40%
111,Hyde Park,,,2306,1425,0,15,1750,0,0,61.80%,75.89%
112,Ira,,,314,151,0,0,264,0,0,48.09%,84.08%
113,Irasburg,,,868,396,353,4,678,0,0,45.62%,78.11%
114,Isle La Motte,,,460,196,0,0,356,0,0,42.61%,77.39%
115,Jamaica,,,793,379,0,0,586,0,0,47.79%,73.90%
116,Jay,,,402,183,0,1,296,0,0,45.52%,73.63%
117,Jericho,,,4465,3148,0,13,3695,1,0,70.50%,82.75%
118,Johnson,,,2292,1225,0,4,1609,0,0,53.45%,70.20%
119,Killington,,,1059,540,0,2,838,0,0,50.99%,79.13%
120,Kirby,,,409,230,0,4,332,0,0,56.23%,81.17%
121,Landgrove,,,144,80,0,0,135,0,0,55.56%,93.75%
122,Leicester,,,744,445,0,6,544,0,0,59.81%,73.12%
123,Lemington,,,70,40,0,0,50,0,0,57.14%,71.43%
124,Lincoln,,,1103,833,0,7,966,0,0,75.52%,87.58%
125,Londonderry,,,1531,924,0,6,1129,0,0,60.35%,73.74%
126,Lowell,,,677,364,0,0,492,0,0,53.77%,72.67%
127,Ludlow,,,1700,896,0,10,1252,0,0,52.71%,73.65%
128,Lunenburg,,,1198,336,0,0,641,0,0,28.05%,53.51%
129,Lyndon,,,3638,1770,0,13,2469,0,0,48.65%,67.87%
130,Maidstone,,,170,131,0,0,145,0,0,77.06%,85.29%
131,Manchester,,,4152,2456,0,24,2821,0,0,59.15%,67.94%
132,Marlboro,,,760,551,1,2,650,0,0,72.50%,85.53%
133,Marshfield,,,1190,858,0,2,973,0,0,72.10%,81.76%
