City/Town,Leading Candidate,Donald J. Trump and JD Vance (R),Kamala D. Harris and Tim Walz (D),Write-Ins,Blanks,OverVotes,Total Votes Cast,Donald J. Trump and JD Vance (R) Percent Votes Cast,Kamala D. Harris and Tim Walz (D) Percent Votes Cast,OverVotes Percent
Addison,Kamala D. Harris and Tim Walz (D),36,94,35,34,28,440,8.18%,21.36%,6.36%
Albany,Kamala D. Harris and Tim Walz (D),65,86,43,34,20,420,15.48%,20.48%,4.76%
Alburgh,Donald J. Trump and JD Vance (R),91,66,23,19,30,538,16.91%,12.27%,5.58%
Andover,Donald J. Trump and JD Vance (R),74,56,39,21,34,665,11.13%,8.42%,5.11%
Arlington,Kamala D. Harris and Tim Walz (D),5,65,20,36,29,541,0.92%,12.01%,5.36%
Athens,Kamala D. Harris and Tim Walz (D),34,55,25,26,19,496,6.85%,11.09%,3.83%
Bakersfield,Kamala D. Harris and Tim Walz (D),7,48,33,39,37,458,1.53%,10.48%,8.08%
Baltimore,Donald J. Trump and JD Vance (R),71,7,40,23,35,507,14.00%,1.38%,6.90%
Barnard,Donald J. Trump and JD Vance (R),107,15,39,42,48,494,21.66%,3.04%,9.72%
Barnet,Donald J. Trump and JD Vance (R),63,12,28,36,36,406,15.52%,2.96%,8.87%
Barre City,Donald J. Trump and JD Vance (R),53,24,28,45,42,354,14.97%,6.78%,11.86%
Barre Town,Kamala D. Harris and Tim Walz (D),33,109,22,35,32,526,6.27%,20.72%,6.08%
Barton,Kamala D. Harris and Tim Walz (D),66,76,21,33,35,490,13.47%,15.51%,7.14%
Belvidere,Donald J. Trump and JD Vance (R),23,17,41,35,48,440,5.23%,3.86%,10.91%
Bennington,Kamala D. Harris and Tim Walz (D),92,96,63,74,57,809,11.37%,11.87%,7.05%
Benson,Kamala D. Harris and Tim Walz (D),64,90,34,32,19,451,14.19%,19.96%,4.21%
Berkshire,Kamala D. Harris and Tim Walz (D),3,82,46,22,43,450,0.67%,18.22%,9.56%
Berlin,Donald J. Trump and JD Vance (R),91,57,46,34,19,380,23.95%,15.00%,5.00%
Bethel,Kamala D. Harris and Tim Walz (D),32,65,47,33,28,511,6.26%,12.72%,5.48%
Bloomfield,Donald J. Trump and JD Vance (R),75,67,30,36,27,470,15.96%,14.26%,5.74%
Bolton,Kamala D. Harris and Tim Walz (D),9,109,34,21,23,492,1.83%,22.15%,4.67%
Bradford,Donald J. Trump and JD Vance (R),38,19,29,26,37,488,7.79%,3.89%,7.58%
Braintree,Kamala D. Harris and Tim Walz (D),47,51,46,25,28,390,12.05%,13.08%,7.18%
Brandon,Donald J. Trump and JD Vance (R),70,57,41,41,34,480,14.58%,11.88%,7.08%
Brattleboro,Kamala D. Harris and Tim Walz (D),132,229,111,88,99,1392,9.48%,16.45%,7.11%
Bridgewater,Donald J. Trump and JD Vance (R),69,49,24,38,34,487,14.17%,10.06%,6.98%
Bridport,Kamala D. Harris and Tim Walz (D),2,48,23,24,30,298,0.67%,16.11%,10.07%
Brighton,Donald J. Trump and JD Vance (R),54,46,35,36,25,477,11.32%,9.64%,5.24%
Bristol,Kamala D. Harris and Tim Walz (D),1,36,16,38,11,457,0.22%,7.88%,2.41%
Brookfield,Donald J. Trump and JD Vance (R),58,30,29,39,30,437,13.27%,6.86%,6.86%
Brookline,Donald J. Trump and JD Vance (R),28,8,18,35,38,338,8.28%,2.37%,11.24%
Brownington,Donald J. Trump and JD Vance (R),97,96,32,36,28,564,17.20%,17.02%,4.96%
Brunswick,Kamala D. Harris and Tim Walz (D),24,41,31,30,21,344,6.98%,11.92%,6.10%
Burke,Kamala D. Harris and Tim Walz (D),20,38,40,46,29,305,6.56%,12.46%,9.51%
Burlington,Kamala D. Harris and Tim Walz (D),230,274,200,203,203,2662,8.64%,10.29%,7.63%
Cabot,Kamala D. Harris and Tim Walz (D),7,81,32,27,37,367,1.91%,22.07%,10.08%
Calais,Donald J. Trump and JD Vance (R),105,65,34,50,40,514,20.43%,12.65%,7.78%
Cambridge,Donald J. Trump and JD Vance (R),84,51,36,33,37,381,22.05%,13.39%,9.71%
Canaan,Kamala D. Harris and Tim Walz (D),50,103,25,32,32,487,10.27%,21.15%,6.57%
